,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-13 09:00:00,71.49199999999999,32,overcast clouds,2014-07-13 09:00:00,Sunday
2014-07-13 12:00:00,73.65199999999997,35,broken clouds,2014-07-13 12:00:00,Sunday
2014-07-13 16:00:00,80.15,47,broken clouds,2014-07-13 16:00:00,Sunday
2014-07-13 17:00:00,81.93200000000002,39,broken clouds,2014-07-13 17:00:00,Sunday
2014-07-13 18:00:00,82.30999999999997,38,overcast clouds,2014-07-13 18:00:00,Sunday
2014-07-14 01:00:00,81.98599999999996,49,broken clouds,2014-07-14 01:00:00,Monday
2014-07-14 02:00:00,80.88800000000005,26,broken clouds,2014-07-14 02:00:00,Monday
2014-07-14 03:00:00,80.52799999999996,15,broken clouds,2014-07-14 03:00:00,Monday
2014-07-14 04:00:00,74.37200000000004,17,light rain,2014-07-14 04:00:00,Monday
2014-07-14 07:00:00,72.93200000000002,47,broken clouds,2014-07-14 07:00:00,Monday
2014-07-14 08:00:00,73.66999999999996,68,light rain,2014-07-14 08:00:00,Monday
2014-07-14 09:00:00,72.57200000000003,52,broken clouds,2014-07-14 09:00:00,Monday
2014-07-14 12:00:00,75.81199999999995,33,scattered clouds,2014-07-14 12:00:00,Monday
2014-07-14 16:00:00,79.06999999999996,26,overcast clouds,2014-07-14 16:00:00,Monday
2014-07-14 17:00:00,80.86999999999996,25,overcast clouds,2014-07-14 17:00:00,Monday
2014-07-14 18:00:00,82.66999999999996,35,broken clouds,2014-07-14 18:00:00,Monday
2014-07-15 01:00:00,74.39000000000001,38,moderate rain,2014-07-15 01:00:00,Tuesday
2014-07-15 02:00:00,74.76799999999999,23,moderate rain,2014-07-15 02:00:00,Tuesday
2014-07-15 03:00:00,74.408,14,proximity thunderstorm with rain,2014-07-15 03:00:00,Tuesday
2014-07-15 04:00:00,74.39000000000001,14,moderate rain,2014-07-15 04:00:00,Tuesday
2014-07-15 07:00:00,74.39000000000001,39,overcast clouds,2014-07-15 07:00:00,Tuesday
2014-07-15 08:00:00,74.39000000000001,60,overcast clouds,2014-07-15 08:00:00,Tuesday
2014-07-15 09:00:00,74.39000000000001,62,overcast clouds,2014-07-15 09:00:00,Tuesday
2014-07-15 12:00:00,76.19000000000003,33,haze,2014-07-15 12:00:00,Tuesday
2014-07-15 16:00:00,80.86999999999996,41,haze,2014-07-15 16:00:00,Tuesday
2014-07-15 17:00:00,83.53399999999999,49,haze,2014-07-15 17:00:00,Tuesday
2014-07-15 18:00:00,83.69600000000005,28,mist,2014-07-15 18:00:00,Tuesday
2014-07-16 01:00:00,74.066,18,mist,2014-07-16 01:00:00,Wednesday
2014-07-16 02:00:00,74.04800000000003,12,mist,2014-07-16 02:00:00,Wednesday
2014-07-16 03:00:00,74.03000000000004,14,mist,2014-07-16 03:00:00,Wednesday
2014-07-16 04:00:00,73.66999999999996,17,moderate rain,2014-07-16 04:00:00,Wednesday
2014-07-16 07:00:00,72.57200000000003,41,light rain,2014-07-16 07:00:00,Wednesday
2014-07-16 08:00:00,72.24800000000002,66,light rain,2014-07-16 08:00:00,Wednesday
2014-07-16 09:00:00,71.50999999999998,68,moderate rain,2014-07-16 09:00:00,Wednesday
2014-07-16 12:00:00,68.61199999999995,32,light rain,2014-07-16 12:00:00,Wednesday
2014-07-16 16:00:00,73.32799999999996,36,light rain,2014-07-16 16:00:00,Wednesday
2014-07-16 17:00:00,76.49600000000005,46,light rain,2014-07-16 17:00:00,Wednesday
2014-07-16 18:00:00,78.908,46,broken clouds,2014-07-16 18:00:00,Wednesday
2014-07-17 01:00:00,73.97599999999998,42,broken clouds,2014-07-17 01:00:00,Thursday
2014-07-17 02:00:00,72.76999999999995,29,broken clouds,2014-07-17 02:00:00,Thursday
2014-07-17 03:00:00,70.43000000000004,10,broken clouds,2014-07-17 03:00:00,Thursday
2014-07-17 04:00:00,68.558,16,light rain,2014-07-17 04:00:00,Thursday
2014-07-17 07:00:00,66.14600000000004,34,broken clouds,2014-07-17 07:00:00,Thursday
2014-07-17 08:00:00,64.90399999999995,68,broken clouds,2014-07-17 08:00:00,Thursday
2014-07-17 09:00:00,63.788000000000046,64,broken clouds,2014-07-17 09:00:00,Thursday
2014-07-17 12:00:00,68.26999999999995,33,broken clouds,2014-07-17 12:00:00,Thursday
2014-07-17 16:00:00,78.76400000000004,32,broken clouds,2014-07-17 16:00:00,Thursday
2014-07-17 17:00:00,78.566,49,broken clouds,2014-07-17 17:00:00,Thursday
2014-07-17 18:00:00,79.15999999999998,46,broken clouds,2014-07-17 18:00:00,Thursday
2014-07-18 01:00:00,72.842,38,scattered clouds,2014-07-18 01:00:00,Friday
2014-07-18 02:00:00,71.43800000000005,24,scattered clouds,2014-07-18 02:00:00,Friday
2014-07-18 03:00:00,68.77400000000002,20,scattered clouds,2014-07-18 03:00:00,Friday
2014-07-18 04:00:00,67.60399999999996,15,scattered clouds,2014-07-18 04:00:00,Friday
2014-07-18 07:00:00,62.977999999999966,44,mist,2014-07-18 07:00:00,Friday
2014-07-18 08:00:00,62.438000000000045,67,mist,2014-07-18 08:00:00,Friday
2014-07-18 09:00:00,61.64600000000005,67,mist,2014-07-18 09:00:00,Friday
2014-07-18 12:00:00,65.62400000000001,42,few clouds,2014-07-18 12:00:00,Friday
2014-07-18 16:00:00,77.77400000000002,39,broken clouds,2014-07-18 16:00:00,Friday
2014-07-18 17:00:00,79.7,47,broken clouds,2014-07-18 17:00:00,Friday
2014-07-18 18:00:00,80.43800000000005,69,broken clouds,2014-07-18 18:00:00,Friday
2014-07-19 01:00:00,72.28399999999999,61,broken clouds,2014-07-19 01:00:00,Saturday
2014-07-19 02:00:00,70.53800000000004,63,broken clouds,2014-07-19 02:00:00,Saturday
2014-07-19 03:00:00,68.576,72,broken clouds,2014-07-19 03:00:00,Saturday
2014-07-19 04:00:00,67.62200000000004,51,broken clouds,2014-07-19 04:00:00,Saturday
2014-07-19 07:00:00,65.49800000000002,35,dust,2014-07-19 07:00:00,Saturday
2014-07-19 08:00:00,65.24600000000005,41,overcast clouds,2014-07-19 08:00:00,Saturday
2014-07-19 09:00:00,65.48000000000005,42,overcast clouds,2014-07-19 09:00:00,Saturday
2014-07-19 12:00:00,67.74800000000002,45,overcast clouds,2014-07-19 12:00:00,Saturday
2014-07-19 16:00:00,75.91999999999996,67,overcast clouds,2014-07-19 16:00:00,Saturday
2014-07-19 17:00:00,75.74000000000002,50,overcast clouds,2014-07-19 17:00:00,Saturday
2014-07-19 18:00:00,76.58599999999997,52,overcast clouds,2014-07-19 18:00:00,Saturday
2014-07-20 01:00:00,70.484,81,broken clouds,2014-07-20 01:00:00,Sunday
2014-07-20 02:00:00,69.35,71,broken clouds,2014-07-20 02:00:00,Sunday
2014-07-20 03:00:00,68.80999999999997,49,broken clouds,2014-07-20 03:00:00,Sunday
